Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit,v_rad_err,b_err,n_err
TiII,3066.347,0.0489,250000000.0,10.0,0,8.798475630917531,7.798475630917531,9.798475630917531,0,0,8,0.1,6,630000000000.0,3065.5287413899055,3067.165258610095,1.0,8.79847565943329,5.999999999909016,681173201367.4847,,,
TiII,3072.97,0.121,256000000.0,10.0,0,8.798475630917531,7.798475630917531,9.798475630917531,0,0,8,0.1,6,630000000000.0,3072.1499740339027,3073.790025966097,1.0,8.79847565943329,5.999999999909016,681173201367.4847,,,
TiII,3229.199,0.0687,244000000.0,10.0,0,8.798475630917531,7.798475630917531,9.798475630917531,0,0,8,0.1,6,630000000000.0,3228.33728412588,3230.06071587412,1.0,8.79847565943329,5.999999999909016,681173201367.4847,,,
TiII,3241.983,0.232,244000000.0,10.0,0,8.798475630917531,7.798475630917531,9.798475630917531,0,0,8,0.1,6,630000000000.0,3241.3009358453196,3242.4904763833088,1.0,8.79847565943329,5.999999999909016,681173201367.4847,,,
TiII,3383.7588,0.3586,175000000.0,10.0,0,8.798475630917531,7.798475630917531,9.798475630917531,0,0,8,0.1,6,630000000000.0,3382.9548584252634,3384.300472173943,1.0,8.79847565943329,5.999999999909016,681173201367.4847,,,
TiII,3066.347,0.0489,250000000.0,10.0,1,-9.875649318974677,-10.875649318974677,-8.875649318974677,1,1,8,0.1,6,530000000000.0,3065.5287413899055,3067.165258610095,1.0,-9.875649412917394,5.99999998851766,570449165183.0591,,,
TiII,3072.97,0.121,256000000.0,10.0,1,-9.875649318974677,-10.875649318974677,-8.875649318974677,1,1,8,0.1,6,530000000000.0,3072.1499740339027,3073.790025966097,1.0,-9.875649412917394,5.99999998851766,570449165183.0591,,,
TiII,3229.199,0.0687,244000000.0,10.0,1,-9.875649318974677,-10.875649318974677,-8.875649318974677,1,1,8,0.1,6,530000000000.0,3228.33728412588,3230.06071587412,1.0,-9.875649412917394,5.99999998851766,570449165183.0591,,,
TiII,3241.983,0.232,244000000.0,10.0,1,-9.875649318974677,-10.875649318974677,-8.875649318974677,1,1,8,0.1,6,530000000000.0,3241.3009358453196,3242.4904763833088,1.0,-9.875649412917394,5.99999998851766,570449165183.0591,,,
TiII,3383.7588,0.3586,175000000.0,10.0,1,-9.875649318974677,-10.875649318974677,-8.875649318974677,1,1,8,0.1,6,530000000000.0,3382.9548584252634,3384.300472173943,1.0,-9.875649412917394,5.99999998851766,570449165183.0591,,,
TiII,3066.347,0.0489,250000000.0,10.0,2,-20.182043035790336,-21.182043035790336,-19.182043035790336,2,2,3,0.1,6,200000000000.0,3065.5287413899055,3067.165258610095,1.0,-20.18204296573219,3.907822046239292,258082880290.86658,,,
TiII,3072.97,0.121,256000000.0,10.0,2,-20.182043035790336,-21.182043035790336,-19.182043035790336,2,2,3,0.1,6,200000000000.0,3072.1499740339027,3073.790025966097,1.0,-20.18204296573219,3.907822046239292,258082880290.86658,,,
TiII,3229.199,0.0687,244000000.0,10.0,2,-20.182043035790336,-21.182043035790336,-19.182043035790336,2,2,3,0.1,6,200000000000.0,3228.33728412588,3230.06071587412,1.0,-20.18204296573219,3.907822046239292,258082880290.86658,,,
TiII,3241.983,0.232,244000000.0,10.0,2,-20.182043035790336,-21.182043035790336,-19.182043035790336,2,2,3,0.1,6,200000000000.0,3241.3009358453196,3242.4904763833088,1.0,-20.18204296573219,3.907822046239292,258082880290.86658,,,
TiII,3383.7588,0.3586,175000000.0,10.0,2,-20.182043035790336,-21.182043035790336,-19.182043035790336,2,2,3,0.1,6,200000000000.0,3382.9548584252634,3384.300472173943,1.0,-20.18204296573219,3.907822046239292,258082880290.86658,,,
TiII,3066.347,0.0489,250000000.0,10.0,3,-44.788143790503526,-45.788143790503526,-43.788143790503526,3,3,5,0.1,6,50000000000.0,3065.5287413899055,3067.165258610095,1.0,-44.78814385794804,5.9999999999090186,58230995371.29076,,,
TiII,3072.97,0.121,256000000.0,10.0,3,-44.788143790503526,-45.788143790503526,-43.788143790503526,3,3,5,0.1,6,50000000000.0,3072.1499740339027,3073.790025966097,1.0,-44.78814385794804,5.9999999999090186,58230995371.29076,,,
TiII,3229.199,0.0687,244000000.0,10.0,3,-44.788143790503526,-45.788143790503526,-43.788143790503526,3,3,5,0.1,6,50000000000.0,3228.33728412588,3230.06071587412,1.0,-44.78814385794804,5.9999999999090186,58230995371.29076,,,
TiII,3241.983,0.232,244000000.0,10.0,3,-44.788143790503526,-45.788143790503526,-43.788143790503526,3,3,5,0.1,6,50000000000.0,3241.3009358453196,3242.4904763833088,1.0,-44.78814385794804,5.9999999999090186,58230995371.29076,,,
TiII,3383.7588,0.3586,175000000.0,10.0,3,-44.788143790503526,-45.788143790503526,-43.788143790503526,3,3,5,0.1,6,50000000000.0,3382.9548584252634,3384.300472173943,1.0,-44.78814385794804,5.9999999999090186,58230995371.29076,,,
TiII,3066.347,0.0489,250000000.0,10.0,4,22.468531605744765,21.468531605744765,23.468531605744765,4,4,5,0.1,6,50000000000.0,3065.5287413899055,3067.165258610095,1.0,22.468530971882878,5.999999999909045,87527570891.18787,,,
TiII,3072.97,0.121,256000000.0,10.0,4,22.468531605744765,21.468531605744765,23.468531605744765,4,4,5,0.1,6,50000000000.0,3072.1499740339027,3073.790025966097,1.0,22.468530971882878,5.999999999909045,87527570891.18787,,,
TiII,3229.199,0.0687,244000000.0,10.0,4,22.468531605744765,21.468531605744765,23.468531605744765,4,4,5,0.1,6,50000000000.0,3228.33728412588,3230.06071587412,1.0,22.468530971882878,5.999999999909045,87527570891.18787,,,
TiII,3241.983,0.232,244000000.0,10.0,4,22.468531605744765,21.468531605744765,23.468531605744765,4,4,5,0.1,6,50000000000.0,3241.3009358453196,3242.4904763833088,1.0,22.468530971882878,5.999999999909045,87527570891.18787,,,
TiII,3383.7588,0.3586,175000000.0,10.0,4,22.468531605744765,21.468531605744765,23.468531605744765,4,4,5,0.1,6,50000000000.0,3382.9548584252634,3384.300472173943,1.0,22.468530971882878,5.999999999909045,87527570891.18787,,,
TiII,3066.347,0.0489,250000000.0,10.0,5,-1.0439646709999766,-2.0439646709999764,-0.043964670999976585,5,5,5,0.1,6,200000000000.0,3065.5287413899055,3067.165258610095,1.0,-1.0439645999025153,4.808197618889518,184954368175.6811,,,
TiII,3072.97,0.121,256000000.0,10.0,5,-1.0439646709999766,-2.0439646709999764,-0.043964670999976585,5,5,5,0.1,6,200000000000.0,3072.1499740339027,3073.790025966097,1.0,-1.0439645999025153,4.808197618889518,184954368175.6811,,,
TiII,3229.199,0.0687,244000000.0,10.0,5,-1.0439646709999766,-2.0439646709999764,-0.043964670999976585,5,5,5,0.1,6,200000000000.0,3228.33728412588,3230.06071587412,1.0,-1.0439645999025153,4.808197618889518,184954368175.6811,,,
TiII,3241.983,0.232,244000000.0,10.0,5,-1.0439646709999766,-2.0439646709999764,-0.043964670999976585,5,5,5,0.1,6,200000000000.0,3241.3009358453196,3242.4904763833088,1.0,-1.0439645999025153,4.808197618889518,184954368175.6811,,,
TiII,3383.7588,0.3586,175000000.0,10.0,5,-1.0439646709999766,-2.0439646709999764,-0.043964670999976585,5,5,5,0.1,6,200000000000.0,3382.9548584252634,3384.300472173943,1.0,-1.0439645999025153,4.808197618889518,184954368175.6811,,,
