object,value,unc_lower,unc_upper,reference_id,preferred_flag
HD 101065,0.91,NaN,NaN,3,1
HD 101065,0.91,NaN,NaN,4,1
HD 103779,0.91,NaN,NaN,3,1
HD 103779,0.91,NaN,NaN,4,1
HD 104705,0.24,NaN,NaN,3,1
HD 104705,0.24,NaN,NaN,4,1
HD 109399,0.25,NaN,NaN,3,1
HD 109399,0.25,NaN,NaN,4,1
HD 111934,0.23,NaN,NaN,3,1
HD 111934,0.23,NaN,NaN,4,1
HD 112272,0.23,NaN,NaN,3,1
HD 112272,0.23,NaN,NaN,4,1
HD 113904,0.24,NaN,NaN,3,1
HD 113904,0.24,NaN,NaN,4,1
HD 114886,0.28,NaN,NaN,3,1
HD 114886,0.28,NaN,NaN,4,1
HD 116852,0.31,NaN,NaN,3,1
HD 116852,0.31,NaN,NaN,4,1
HD 122879,0.36,NaN,NaN,3,1
HD 122879,0.36,NaN,NaN,4,1
HD 124314,0.87,NaN,NaN,3,1
HD 124314,0.87,NaN,NaN,4,1
HD 133518,0.83,NaN,NaN,3,1
HD 133518,0.83,NaN,NaN,4,1
HD 135591,0.19,NaN,NaN,3,1
HD 135591,0.19,NaN,NaN,4,1
HD 143275,0.21,NaN,NaN,3,1
HD 143275,0.21,NaN,NaN,4,1
HD 144470,0.26,NaN,NaN,3,1
HD 144470,0.26,NaN,NaN,4,1
HD 145502,0.29,NaN,NaN,3,0
HD 145502,0.29,NaN,NaN,4,1
HD 147084,0.18,NaN,NaN,3,1
HD 147084,0.18,NaN,NaN,4,1
HD 147165,0.22,NaN,NaN,3,1
HD 147165,0.22,NaN,NaN,4,1
HD 147683,0.3,NaN,NaN,3,1
HD 147683,0.3,NaN,NaN,4,1
HD 147888,0.38,NaN,NaN,3,1
HD 147888,0.38,NaN,NaN,4,1
HD 147889,0.45,NaN,NaN,3,1
HD 147889,0.45,NaN,NaN,4,1
HD 147933,0.53,NaN,NaN,3,1
HD 147933,0.53,NaN,NaN,4,1
HD 147934,0.12,NaN,NaN,3,1
HD 147934,0.12,NaN,NaN,4,1
HD 148605,0.14,NaN,NaN,3,1
HD 148605,0.14,NaN,NaN,4,1
HD 148937,0.2,NaN,NaN,3,1
HD 148937,0.2,NaN,NaN,4,1
HD 149038,0.21,NaN,NaN,3,1
HD 149038,0.21,NaN,NaN,4,1
HD 149404,0.21,NaN,NaN,3,1
HD 149404,0.21,NaN,NaN,4,1
HD 149757,0.17,NaN,NaN,3,1
HD 149757,0.17,NaN,NaN,4,1
HD 150136,0.2,NaN,NaN,3,1
HD 150136,0.2,NaN,NaN,4,1
HD 151804,0.21,NaN,NaN,3,1
HD 151804,0.21,NaN,NaN,4,1
HD 152408,0.25,NaN,NaN,3,1
HD 152408,0.25,NaN,NaN,4,1
HD 152424,0.29,NaN,NaN,3,1
HD 152424,0.29,NaN,NaN,4,1
HD 153919,0.73,NaN,NaN,3,1
HD 153919,0.73,NaN,NaN,4,1
HD 154043,0.83,NaN,NaN,3,1
HD 154043,0.83,NaN,NaN,4,1
HD 155806,0.36,NaN,NaN,3,1
HD 155806,0.36,NaN,NaN,4,1
HD 156201,0.39,NaN,NaN,3,1
HD 156201,0.39,NaN,NaN,4,1
HD 157246,0.3,NaN,NaN,3,1
HD 157246,0.3,NaN,NaN,4,1
HD 157978,0.29,NaN,NaN,3,1
HD 157978,0.29,NaN,NaN,4,1
HD 158926,0.44,NaN,NaN,3,1
HD 158926,0.44,NaN,NaN,4,1
HD 164073,0.43,NaN,NaN,3,1
HD 164073,0.43,NaN,NaN,4,1
HD 164353,0.99,NaN,NaN,3,1
HD 164353,0.99,NaN,NaN,4,1
HD 164740,1.07,NaN,NaN,3,1
HD 164740,1.07,NaN,NaN,4,1
HD 164906,0.41,NaN,NaN,3,1
HD 164906,0.41,NaN,NaN,4,1
HD 165319,0.46,NaN,NaN,3,1
HD 165319,0.46,NaN,NaN,4,1
HD 166937,NaN,NaN,NaN,3,1
HD 166937,nan,NaN,NaN,4,1
HD 167264,NaN,NaN,NaN,3,1
HD 167264,nan,NaN,NaN,4,1
HD 167838,0.07,NaN,NaN,3,1
HD 167838,0.07,NaN,NaN,4,1
HD 167971,0.08,NaN,NaN,3,1
HD 167971,0.08,NaN,NaN,4,1
HD 168076,0.57,NaN,NaN,3,1
HD 168076,0.57,NaN,NaN,4,1
HD 169454,0.73,NaN,NaN,3,1
HD 169454,0.73,NaN,NaN,4,1
HD 170740,0.3,NaN,NaN,3,1
HD 170740,0.3,NaN,NaN,4,1
HD 170938,0.32,NaN,NaN,3,1
HD 170938,0.32,NaN,NaN,4,1
HD 171957,0.64,NaN,NaN,3,1
HD 171957,0.64,NaN,NaN,4,1
HD 172694,0.71,NaN,NaN,3,1
HD 172694,0.71,NaN,NaN,4,1
HD 180554,0.32,NaN,NaN,3,1
HD 180554,0.32,NaN,NaN,4,1
HD 183143,0.32,NaN,NaN,3,1
HD 183143,0.32,NaN,NaN,4,1
HD 184915,0.42,NaN,NaN,3,1
HD 184915,0.42,NaN,NaN,4,1
HD 185418,0.45,NaN,NaN,3,1
HD 185418,0.45,NaN,NaN,4,1
HD 185859,0.32,NaN,NaN,3,1
HD 185859,0.32,NaN,NaN,4,1
HD 186745,0.36,NaN,NaN,3,1
HD 186745,0.36,NaN,NaN,4,1
HD 186841,0.42,NaN,NaN,3,1
HD 186841,0.42,NaN,NaN,4,1
HD 203532,0.45,NaN,NaN,3,1
HD 203532,0.45,NaN,NaN,4,1
HD 22951,0.62,NaN,NaN,3,1
HD 22951,0.62,NaN,NaN,4,1
HD 23016,0.7,NaN,NaN,3,1
HD 23016,0.7,NaN,NaN,4,1
HD 23180,0.51,NaN,NaN,3,1
HD 23180,0.51,NaN,NaN,4,1
HD 24398,0.59,NaN,NaN,3,1
HD 24398,0.59,NaN,NaN,4,1
HD 27778,0.68,NaN,NaN,3,1
HD 27778,0.68,NaN,NaN,4,1
HD 303308,0.8,NaN,NaN,3,1
HD 303308,0.8,NaN,NaN,4,1
HD 34748,0.25,NaN,NaN,3,1
HD 34748,0.25,NaN,NaN,4,1
HD 36486,0.3,NaN,NaN,3,1
HD 36486,0.3,NaN,NaN,4,1
HD 36695,0.81,NaN,NaN,3,1
HD 36695,0.81,NaN,NaN,4,1
HD 36822,0.91,NaN,NaN,3,1
HD 36822,0.91,NaN,NaN,4,1
HD 36861,0.05,NaN,NaN,3,1
HD 36861,0.05,NaN,NaN,4,1
HD 36982,0.06,NaN,NaN,3,1
HD 36982,0.06,NaN,NaN,4,1
HD 37020,0.6,NaN,NaN,3,1
HD 37020,0.6,NaN,NaN,4,1
HD 37021,0.64,NaN,NaN,3,1
HD 37021,0.64,NaN,NaN,4,1
HD 37022,0.09,NaN,NaN,3,1
HD 37022,0.09,NaN,NaN,4,1
HD 37023,0.1,NaN,NaN,3,1
HD 37023,0.1,NaN,NaN,4,1
HD 37041,0.23,NaN,NaN,3,1
HD 37041,0.23,NaN,NaN,4,1
HD 37061,0.22,NaN,NaN,3,1
HD 37061,0.22,NaN,NaN,4,1
HD 37128,0.08,NaN,NaN,3,1
HD 37128,0.08,NaN,NaN,4,1
HD 37367,0.12,NaN,NaN,3,1
HD 37367,0.12,NaN,NaN,4,1
HD 37903,NaN,NaN,NaN,3,1
HD 37903,nan,NaN,NaN,4,1
HD 38087,0.9,NaN,NaN,3,1
HD 38087,0.9,NaN,NaN,4,1
HD 38771,0.38,NaN,NaN,3,1
HD 38771,0.38,NaN,NaN,4,1
HD 39680,0.49,NaN,NaN,3,1
HD 39680,0.49,NaN,NaN,4,1
HD 40111,0.73,NaN,NaN,3,1
HD 40111,0.73,NaN,NaN,4,1
HD 41117,0.83,NaN,NaN,3,1
HD 41117,0.83,NaN,NaN,4,1
HD 43384,0.2,NaN,NaN,3,1
HD 43384,0.2,NaN,NaN,4,1
HD 45314,0.24,NaN,NaN,3,1
HD 45314,0.24,NaN,NaN,4,1
HD 49787,0.22,NaN,NaN,3,1
HD 49787,0.22,NaN,NaN,4,1
HD 50820,0.27,NaN,NaN,3,1
HD 50820,0.27,NaN,NaN,4,1
HD 53975,0.51,NaN,NaN,3,1
HD 53975,0.51,NaN,NaN,4,1
HD 54439,0.59,NaN,NaN,3,1
HD 54439,0.59,NaN,NaN,4,1
HD 54662,0.95,NaN,NaN,3,1
HD 54662,0.95,NaN,NaN,4,1
HD 55879,1.07,NaN,NaN,3,1
HD 55879,1.07,NaN,NaN,4,1
HD 57061,0.73,NaN,NaN,3,1
HD 57061,0.73,NaN,NaN,4,1
HD 61827,0.79,NaN,NaN,3,1
HD 61827,0.79,NaN,NaN,4,1
HD 66194,0.97,NaN,NaN,3,1
HD 66194,0.97,NaN,NaN,4,1
HD 66811,1.09,NaN,NaN,3,1
HD 66811,1.09,NaN,NaN,4,1
HD 73882,0.43,NaN,NaN,3,1
HD 73882,0.43,NaN,NaN,4,1
HD 75309,0.48,NaN,NaN,3,1
HD 75309,0.48,NaN,NaN,4,1
HD 75860,0.89,NaN,NaN,3,1
HD 75860,0.89,NaN,NaN,4,1
HD 79186,1.04,NaN,NaN,3,1
HD 79186,1.04,NaN,NaN,4,1
HD 80558,0.23,NaN,NaN,3,1
HD 80558,0.23,NaN,NaN,4,1
HD 81188,0.31,NaN,NaN,3,1
HD 81188,0.31,NaN,NaN,4,1
HD 91824,0.33,NaN,NaN,3,1
HD 91824,0.33,NaN,NaN,4,1
HD 93030,0.36,NaN,NaN,3,1
HD 93030,0.36,NaN,NaN,4,1
HD 93205,0.1,NaN,NaN,3,1
HD 93205,0.1,NaN,NaN,4,1
HD 93222,0.13,NaN,NaN,3,1
HD 93222,0.13,NaN,NaN,4,1
HD 93843,1.09,NaN,NaN,3,1
HD 93843,1.09,NaN,NaN,4,1
HD 94493,1.29,NaN,NaN,3,1
HD 94493,1.29,NaN,NaN,4,1
HD 99953,0.23,NaN,NaN,3,1
HD 99953,0.23,NaN,NaN,4,1
